Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
3-Aug-22,16:50,0.3,62.1,62.4,291.1,62.1,353.2,607
3-Aug-22,16:55,0.3,62.1,62.4,273.3,62.1,335.4,548
3-Aug-22,17:00,0.3,62.1,62.4,284.9,62.1,347,501
3-Aug-22,17:05,0.3,62.1,62.4,283.4,62.1,345.5,464
3-Aug-22,17:10,0.3,62.1,62.4,259.5,62.1,321.6,424
3-Aug-22,17:15,0.4,62.1,62.5,238.9,62.1,301,373
3-Aug-22,17:20,0.4,62.1,62.5,220.2,62.1,282.3,356
3-Aug-22,17:25,0.4,62.1,62.5,202.5,62.1,264.6,352
3-Aug-22,17:30,0.4,62.1,62.5,201.5,62.1,263.6,352
3-Aug-22,17:35,0.4,62.1,62.5,209.2,62.1,271.3,320
3-Aug-22,17:40,0.4,62.1,62.5,190.9,62.1,253,312
3-Aug-22,17:45,0.4,62.1,62.5,163,62.1,225.1,300
3-Aug-22,17:50,0.5,62.1,62.6,167,62.1,229.1,312
3-Aug-22,17:55,0.9,62.1,63,172.9,62.1,235,300
3-Aug-22,18:00,4.2,62.1,66.3,149.1,62.1,211.2,259
3-Aug-22,18:05,15.3,62.1,77.4,139.5,62.1,201.6,263
3-Aug-22,18:10,30.5,62.1,92.6,141.1,62.1,203.2,259
3-Aug-22,18:15,40.8,62.1,102.9,133,62.1,195.1,248
3-Aug-22,18:20,44.8,62.1,106.9,120.5,62.1,182.6,231
3-Aug-22,18:25,45.4,62.1,107.5,118.1,62.1,180.2,224
3-Aug-22,18:30,44.4,62.1,106.5,113.7,62.1,175.8,227
3-Aug-22,18:35,42.8,62.1,104.9,106.7,62.1,168.8,220
3-Aug-22,18:40,41,62.1,103.1,99.3,62.1,161.4,220
3-Aug-22,18:45,39.2,62.1,101.3,97.3,62.1,159.4,214
3-Aug-22,18:50,37.6,62.1,99.7,93.4,62.1,155.5,207
