Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
9-Jul-22,11:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:45,0,29.8,29.8,0,29.8,29.8,31.5
9-Jul-22,11:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,11:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:00,0,29.8,29.8,0,29.8,29.8,31.5
9-Jul-22,12:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:15,0,29.8,29.8,0,29.8,29.8,30.9
9-Jul-22,12:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:30,0,29.8,29.8,0,29.8,29.8,30.9
9-Jul-22,12:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:45,0,29.8,29.8,0,29.8,29.8,30.9
9-Jul-22,12:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,12:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:00,0,29.8,29.8,0,29.8,29.8,31.5
9-Jul-22,13:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:15,0,29.8,29.8,0,29.8,29.8,30.9
9-Jul-22,13:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:30,0,29.8,29.8,0,29.8,29.8,30.9
9-Jul-22,13:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:45,0,29.8,29.8,0,29.8,29.8,30.9
9-Jul-22,13:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,13:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:00,0,29.8,29.8,0,29.8,29.8,30.3
9-Jul-22,14:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:15,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,14:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:30,0,29.8,29.8,0,29.8,29.8,29.8
9-Jul-22,14:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:45,0,29.8,29.8,0,29.8,29.8,30.4
9-Jul-22,14:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,14:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:00,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,15:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:15,0,29.8,29.8,0,29.8,29.8,30.4
9-Jul-22,15:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:30,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,15:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:45,0,29.8,29.8,0,29.8,29.8,29.8
9-Jul-22,15:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,15:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:00,0,29.8,29.8,0,29.8,29.8,29.8
9-Jul-22,16:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:15,0,29.8,29.8,0,29.8,29.8,29.8
9-Jul-22,16:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:30,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,16:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:45,0,29.8,29.8,0,29.8,29.8,28.7
9-Jul-22,16:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,16:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:00,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,17:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:15,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,17:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:30,0,29.8,29.8,0,29.8,29.8,29.2
9-Jul-22,17:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:45,0,29.8,29.8,0,29.8,29.8,28.7
9-Jul-22,17:50,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,17:55,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:00,0,29.8,29.8,0,29.8,29.8,29.8
9-Jul-22,18:05,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:10,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:15,0,29.8,29.8,0,29.8,29.8,48.9
9-Jul-22,18:20,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:25,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:30,0,29.8,29.8,0,29.8,29.8,47.6
9-Jul-22,18:35,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:40,0,29.8,29.8,0,29.8,29.8,
9-Jul-22,18:45,0,29.8,29.8,0,29.8,29.8,36.8
9-Jul-22,18:50,0,29.8,29.8,0,30,30,
9-Jul-22,18:55,0,29.8,29.8,0,31.3,31.3,
9-Jul-22,19:00,0,29.8,29.8,0,36.8,36.8,39.3
9-Jul-22,19:05,0,29.8,29.8,0,49.8,49.9,
9-Jul-22,19:10,0,29.8,29.8,0.1,72.4,72.4,
9-Jul-22,19:15,0,29.8,29.8,0.1,100.7,100.8,234
9-Jul-22,19:20,0,29.8,29.8,0.2,125.6,125.8,
9-Jul-22,19:25,0,29.8,29.8,0.3,138.9,139.2,
9-Jul-22,19:30,0,29.8,29.8,0.4,138.3,138.7,340
9-Jul-22,19:35,0,29.8,29.8,1.2,127.8,129,
9-Jul-22,19:40,0,29.8,29.8,10.2,110.9,121.2,
9-Jul-22,19:45,0,29.8,29.8,96.7,92.4,189,259
9-Jul-22,19:50,0,29.8,29.8,272.8,76,348.8,
