Date,Time,Inflow GC90,InflowGC150,Outflow
12-Jul-22,12:15,0,0,0
12-Jul-22,12:20,0,0,0
12-Jul-22,12:25,0,0,0
12-Jul-22,12:30,0,0,0
12-Jul-22,12:35,0,0,0
12-Jul-22,12:40,0,0,0
12-Jul-22,12:45,0,0,0
12-Jul-22,12:50,0,0,0
12-Jul-22,12:55,0,0,0
12-Jul-22,13:00,0,0,0
12-Jul-22,13:05,0,0,0
12-Jul-22,13:10,0,0,0
12-Jul-22,13:15,0,0,0
12-Jul-22,13:20,0,0,0
12-Jul-22,13:25,0,0,0
12-Jul-22,13:30,0,0,0
12-Jul-22,13:35,0,0,0
12-Jul-22,13:40,0,0,0
12-Jul-22,13:45,0,0,0
12-Jul-22,13:50,0,0,0
12-Jul-22,13:55,0,0,0
12-Jul-22,14:00,0,0,0
12-Jul-22,14:05,0,0,0
12-Jul-22,14:10,0,0,0
12-Jul-22,14:15,0,0,0
12-Jul-22,14:20,0,0,0
12-Jul-22,14:25,0,0,0
12-Jul-22,14:30,0,0,0
12-Jul-22,14:35,0,0,0
12-Jul-22,14:40,0,0,0
12-Jul-22,14:45,0,0,0
12-Jul-22,14:50,0,0,0
12-Jul-22,14:55,0,0,0
12-Jul-22,15:00,0,0,0
12-Jul-22,15:05,0,0,0
12-Jul-22,15:10,0,0,0
12-Jul-22,15:15,0,0,0
12-Jul-22,15:20,0,0,0
12-Jul-22,15:25,0,0,0
12-Jul-22,15:30,0,0,0
12-Jul-22,15:35,0,0,0
12-Jul-22,15:40,0,0,0
12-Jul-22,15:45,0,0,0
12-Jul-22,15:50,0,0,0
12-Jul-22,15:55,0,0,0
12-Jul-22,16:00,0,0,0
12-Jul-22,16:05,0,0,0
12-Jul-22,16:10,0,0,0
12-Jul-22,16:15,0,0,0
12-Jul-22,16:20,0,0,0
12-Jul-22,16:25,0,0,0
12-Jul-22,16:30,0,0,0
12-Jul-22,16:35,0,0,0
12-Jul-22,16:40,0,0,0
12-Jul-22,16:45,0,0,0
12-Jul-22,16:50,0,0,0
12-Jul-22,16:55,0,0,0
12-Jul-22,17:00,0,0,0
12-Jul-22,17:05,0,0,0
12-Jul-22,17:10,0,0,0
12-Jul-22,17:15,0,0,0
12-Jul-22,17:20,0,0,0
12-Jul-22,17:25,0,0,0
12-Jul-22,17:30,0,0,0
12-Jul-22,17:35,0,0,0
12-Jul-22,17:40,0,0,0
12-Jul-22,17:45,0,0,0
12-Jul-22,17:50,0,0,0
12-Jul-22,17:55,0,0,0
12-Jul-22,18:00,0,0,0
12-Jul-22,18:05,0,0,0
12-Jul-22,18:10,0,0,0
12-Jul-22,18:15,0,0,0
12-Jul-22,18:20,0,0,0
12-Jul-22,18:25,0,0,0
12-Jul-22,18:30,0,0,0
12-Jul-22,18:35,0,0,0
12-Jul-22,18:40,0,0,0
12-Jul-22,18:45,0,0,0
12-Jul-22,18:50,0,0,0
12-Jul-22,18:55,0,0,0
12-Jul-22,19:00,0,0,0
12-Jul-22,19:05,0,0,0
12-Jul-22,19:10,0,0,0
12-Jul-22,19:15,0,0,0
12-Jul-22,19:20,0,0,0
12-Jul-22,19:25,0,0,0
12-Jul-22,19:30,0,0,0
12-Jul-22,19:35,0,0,0
12-Jul-22,19:40,0,0,0
12-Jul-22,19:45,0,0,0
12-Jul-22,19:50,0,0,0
12-Jul-22,19:55,0.1,0,0.1
12-Jul-22,20:00,0.1,0,0.1
12-Jul-22,20:05,0.1,0,0.1
12-Jul-22,20:10,0.2,0,0.2
12-Jul-22,20:15,0.2,0,0.2
12-Jul-22,20:20,0.3,0,0.3
12-Jul-22,20:25,0.3,0,0.3
12-Jul-22,20:30,0.3,0,0.3
12-Jul-22,20:35,0.4,0,0.4
12-Jul-22,20:40,0.5,0,0.5
12-Jul-22,20:45,2.2,0,2.2
12-Jul-22,20:50,10.2,0,10.2
12-Jul-22,20:55,26.7,0,26.7
12-Jul-22,21:00,43.3,0,43.3
12-Jul-22,21:05,54.2,0,54.2
12-Jul-22,21:10,60.8,0,60.8
12-Jul-22,21:15,68.1,0,68.1
12-Jul-22,21:20,80.3,0,80.3
12-Jul-22,21:25,94.6,0,94.6
12-Jul-22,21:30,99.4,0,99.4
12-Jul-22,21:35,95.2,0,95.2
12-Jul-22,21:40,88.1,0,88.1
12-Jul-22,21:45,80.3,0,80.3
12-Jul-22,21:50,72.4,0,72.4
12-Jul-22,21:55,64.8,0,64.8
12-Jul-22,22:00,56.3,0,56.3
12-Jul-22,22:05,48.1,0,48.1
12-Jul-22,22:10,41.1,0,41.1
12-Jul-22,22:15,35.2,0,35.2
12-Jul-22,22:20,30.1,0,30.1
12-Jul-22,22:25,25.9,0,25.9
12-Jul-22,22:30,22.2,0,22.2
12-Jul-22,22:35,19.1,0,19.1
12-Jul-22,22:40,16.4,0,16.4
12-Jul-22,22:45,14.1,0,14.1
12-Jul-22,22:50,12.1,0,12.1
12-Jul-22,22:55,10.4,0,10.4
12-Jul-22,23:00,8.9,0,8.9
12-Jul-22,23:05,7.6,0,7.6
12-Jul-22,23:10,6.6,0,6.6
12-Jul-22,23:15,5.9,0,5.9
12-Jul-22,23:20,6.1,0,6.1
12-Jul-22,23:25,8.1,0,8.1
12-Jul-22,23:30,11.9,0,11.9
12-Jul-22,23:35,15.8,0,15.8
12-Jul-22,23:40,18.5,0,18.5
12-Jul-22,23:45,19.5,0,19.5
12-Jul-22,23:50,19.4,0,19.4
12-Jul-22,23:55,18.7,0,18.7
13-Jul-22,0:00,17.6,0,17.6
13-Jul-22,0:05,16.5,0,16.5
13-Jul-22,0:10,15.2,0,15.2
13-Jul-22,0:15,14,0,14
13-Jul-22,0:20,12.8,0,12.8
13-Jul-22,0:25,11.7,0,11.7
13-Jul-22,0:30,10.6,0,10.6
13-Jul-22,0:35,9.7,0,9.7
13-Jul-22,0:40,8.8,0,8.8
13-Jul-22,0:45,7.9,0,7.9
13-Jul-22,0:50,7.2,0,7.2
13-Jul-22,0:55,6.5,0,6.5
13-Jul-22,1:00,5.9,0,5.9
13-Jul-22,1:05,5.3,0,5.3
13-Jul-22,1:10,4.8,0,4.8
13-Jul-22,1:15,4.4,0,4.4
13-Jul-22,1:20,4,0,4
13-Jul-22,1:25,3.7,0,3.7
13-Jul-22,1:30,3.4,0,3.4
13-Jul-22,1:35,3.2,0,3.2
13-Jul-22,1:40,3.1,0,3.1
13-Jul-22,1:45,3,0,3
13-Jul-22,1:50,3,0,3
13-Jul-22,1:55,3,0,3
13-Jul-22,2:00,3,0,3
13-Jul-22,2:05,3,0,3
13-Jul-22,2:10,3,0,3
13-Jul-22,2:15,2.9,0,2.9
13-Jul-22,2:20,2.8,0,2.8
13-Jul-22,2:25,2.7,0,2.7
13-Jul-22,2:30,2.6,0,2.6
13-Jul-22,2:35,2.4,0,2.4
13-Jul-22,2:40,2.3,0,2.3
13-Jul-22,2:45,2.1,0,2.1
13-Jul-22,2:50,2,0,2
13-Jul-22,2:55,1.8,0,1.8
13-Jul-22,3:00,1.6,0,1.6
13-Jul-22,3:05,1.5,0,1.5
13-Jul-22,3:10,1.3,0,1.3
13-Jul-22,3:15,1.2,0,1.2
13-Jul-22,3:20,1,0,1
13-Jul-22,3:25,0.8,0,0.8
13-Jul-22,3:30,0.6,0,0.6
13-Jul-22,3:35,0.3,0,0.3
13-Jul-22,3:40,0.2,0,0.2
13-Jul-22,3:45,0.1,0,0.1
13-Jul-22,3:50,0,0,0
13-Jul-22,3:55,0,0,0
13-Jul-22,4:00,0,0,0
13-Jul-22,4:05,0,0,0
13-Jul-22,4:10,0,0,0
13-Jul-22,4:15,0,0,0
13-Jul-22,4:20,0,0,0
13-Jul-22,4:25,0,0,0
13-Jul-22,4:30,0,0,0
13-Jul-22,4:35,0,0,0
13-Jul-22,4:40,0,0,0
13-Jul-22,4:45,0,0,0
13-Jul-22,4:50,0,0,0
13-Jul-22,4:55,0,0,0
13-Jul-22,5:00,0,0,0
13-Jul-22,5:05,0,0,0
13-Jul-22,5:10,0,0,0
13-Jul-22,5:15,0,0,0
13-Jul-22,5:20,0,0,0
13-Jul-22,5:25,0,0,0
13-Jul-22,5:30,0,0,0
13-Jul-22,5:35,0,0,0
13-Jul-22,5:40,0,0,0
13-Jul-22,5:45,0,0,0
13-Jul-22,5:50,0,0,0
13-Jul-22,5:55,0,0,0
13-Jul-22,6:00,0,0,0
13-Jul-22,6:05,0,0,0
13-Jul-22,6:10,0,0,0
13-Jul-22,6:15,0,0,0
13-Jul-22,6:20,0,0,0
13-Jul-22,6:25,0,0,0
13-Jul-22,6:30,0,0,0
13-Jul-22,6:35,0,0,0
13-Jul-22,6:40,0,0,0
13-Jul-22,6:45,0,0,0
13-Jul-22,6:50,0,0,0
13-Jul-22,6:55,0,0,0
13-Jul-22,7:00,0,0,0
13-Jul-22,7:05,0,0,0
13-Jul-22,7:10,0,0,0
13-Jul-22,7:15,0,0,0
13-Jul-22,7:20,0,0,0
13-Jul-22,7:25,0,0,0
13-Jul-22,7:30,0,0,0
13-Jul-22,7:35,0,0,0
13-Jul-22,7:40,0,0,0
13-Jul-22,7:45,0,0,0
13-Jul-22,7:50,0,0,0
